"country","pop","urban","gdp","lifeexpm","lifeexpf","birthrat","deathrat","infmr","fertrate","region","develop","radio","phone","hospbed","docs","lndocs","lnradio","lnphone","lngdp","sequence","lnbeds"
"Burundi             ",6.022,8,200,51,55,46,14,106,6.1,"Eastern Africa","Developing country",9.09090909090909,0.16366612111293,19.4174757281553,0.314693016961954,-1.15615766466558,2.20727491318972,-1.8099267731835,5.29831736654804,1,2.96617347131245
"Ethiopia            ",51.07,11,130,50,53,45,15,113,6.3,"Eastern Africa","Developing country",18.1818181818182,0.3125,2.58197779499096,0.272776868521549,-1.29910114941751,2.90042209374967,-1.16315080980568,4.86753445045558,2,0.948555692461431
"Kenya               ",26.164,26,385,60,64,44,8,68,7.6,"Eastern Africa","Developing country",16.6666666666667,1.49253731343284,13.5685210312076,1.36742786817995,0.312931506705232,2.81341071676004,0.400477566597125,5.95324333428778,3,2.60775247978685
"Madagascar          ",12.596,22,200,51,55,47,15,93,6.5,"Eastern Africa","Developing country",12.5,0.418410041841004,17.636684303351,0.796495420151334,-0.227533899615503,2.52572864430826,-0.871293365943419,5.29831736654804,4,2.86998106824843
"Malawi              ",9.605,15,200,48,51,52,18,136,6.9,"Eastern Africa","Developing country",23.2558139534884,0.568181818181818,15.9489633173844,0.369085406363032,-0.996727208164499,3.14655516328857,-0.56531380905006,5.29831736654804,5,2.76939383134326
"Mauritius           ",1.082,41,2300,66,74,19,6,22,1.9,"Eastern Africa","Developing country",23.8095238095238,6.66666666666667,27.4725274725275,8.94454382826476,2.19104371826114,3.17008566069877,1.89711998488588,7.74066440191724,6,3.31318650433944
"Mozambique          ",15.469,19,120,46,49,46,17,134,6.2,"Eastern Africa","Developing country",3.44827586206897,0.460829493087558,8.14995925020375,0.229694965086365,-1.47100308904684,1.23787435600162,-0.774727167552368,4.78749174278205,7,2.09801292726527
"Rwanda              ",8.206,5,310,51,55,52,15,108,8,"Eastern Africa","Developing country",9.09090909090909,0.201207243460765,10.9649122807018,0.215693887235236,-1.53389506518546,2.20727491318972,-1.60341984010854,5.73657229747919,8,2.39470038190185
"Somalia             ",7.235,36,170,56,55,46,13,116,6.5,"Eastern Africa","Developing country",5,NA,9.49667616334283,0.524356352577211,-0.645583763628336,1.6094379124341,NA,5.13579843705026,9,2.25094185984221
"Tanzania            ",27.791,32,260,50,55,50,16,103,7,"Eastern Africa","Developing country",16.6666666666667,0.574712643678161,8.44594594594595,0.394446197538656,-0.930272529394574,2.81341071676004,-0.553885113226438,5.56068163101553,10,2.13368655653223
"Uganda              ",19.386,11,300,50,52,51,15,91,6.8,"Eastern Africa","Developing country",19.6078431372549,0.34965034965035,12.2399020807834,0.5,-0.693147180559945,2.97592964625781,-1.05082162483176,5.7037824746562,11,2.50470127711618
"Zambia              ",8.745,49,380,55,59,48,11,77,7,"Eastern Africa","Developing country",7.14285714285714,1.28205128205128,32.1543408360129,1.18525542254356,0.169958297810556,1.96611285637283,0.2484613592985,5.94017125272043,12,3.47054745979695
"Zimbabwe            ",11.033,25,660,60,64,41,8,59,5.3,"Eastern Africa","Developing country",5.55555555555556,3.2258064516129,22.075055187638,1.43864192202561,0.363699558875697,1.71479842809193,1.17118298150295,6.49223983502047,13,3.09444824649315
